,filename,width,height
235,dog_0058._slice4.jpg,69,116
236,dog_0059._slice1.jpg,116,217
237,dog_0059._slice2.jpg,116,217
238,dog_0059._slice3.jpg,116,217
239,dog_0059._slice4.jpg,116,217
240,dog_0060._slice1.jpg,143,110
241,dog_0060._slice2.jpg,143,110
242,dog_0060._slice3.jpg,143,110
243,dog_0060._slice4.jpg,143,110
244,dog_0061._slice1.jpg,94,176
245,dog_0061._slice2.jpg,94,176
246,dog_0061._slice3.jpg,94,176
247,dog_0061._slice4.jpg,94,176
248,dog_0062._slice1.jpg,86,142
249,dog_0062._slice2.jpg,86,142
250,dog_0062._slice3.jpg,86,142
251,dog_0062._slice4.jpg,86,142
252,dog_0063._slice1.jpg,228,176
253,dog_0063._slice2.jpg,228,176
254,dog_0063._slice3.jpg,228,176
255,dog_0063._slice4.jpg,228,176
256,dog_0064._slice1.jpg,47,42
257,dog_0064._slice2.jpg,47,42
258,dog_0064._slice3.jpg,47,42
259,dog_0064._slice4.jpg,47,42
260,dog_0065._slice1.jpg,158,212
261,dog_0065._slice2.jpg,158,212
262,dog_0065._slice3.jpg,158,212
263,dog_0065._slice4.jpg,158,212
264,dog_0066._slice1.jpg,197,133
265,dog_0066._slice2.jpg,197,133
266,dog_0066._slice3.jpg,197,133
267,dog_0066._slice4.jpg,197,133
268,dog_0067._slice1.jpg,114,113
269,dog_0067._slice2.jpg,114,113
270,dog_0067._slice3.jpg,114,113
271,dog_0067._slice4.jpg,114,113
272,dog_0068._slice1.jpg,172,236
273,dog_0068._slice2.jpg,172,236
274,dog_0068._slice3.jpg,172,236
275,dog_0068._slice4.jpg,172,236
276,dog_0069._slice1.jpg,195,225
277,dog_0069._slice2.jpg,195,225
278,dog_0069._slice3.jpg,195,225
279,dog_0069._slice4.jpg,195,225
280,dog_0070._slice1.jpg,199,157
281,dog_0070._slice2.jpg,199,157
282,dog_0070._slice3.jpg,199,157
283,dog_0070._slice4.jpg,199,157
284,dog_0071._slice1.jpg,154,137
285,dog_0071._slice2.jpg,154,137
286,dog_0071._slice3.jpg,154,137
287,dog_0071._slice4.jpg,154,137
288,dog_0072._slice1.jpg,50,91
289,dog_0072._slice2.jpg,50,91
290,dog_0072._slice3.jpg,50,91
291,dog_0072._slice4.jpg,50,91
292,dog_0073._slice1.jpg,244,186
293,dog_0073._slice2.jpg,244,186
294,dog_0073._slice3.jpg,244,186
295,dog_0073._slice4.jpg,244,186
296,dog_0074._slice1.jpg,115,161
297,dog_0074._slice2.jpg,115,161
298,dog_0074._slice3.jpg,115,161
299,dog_0074._slice4.jpg,115,161
300,dog_0075._slice1.jpg,231,240
301,dog_0075._slice2.jpg,231,240
302,dog_0075._slice3.jpg,231,240
303,dog_0075._slice4.jpg,231,240
304,dog_0076._slice1.jpg,85,87
305,dog_0076._slice2.jpg,85,87
306,dog_0076._slice3.jpg,85,87
307,dog_0076._slice4.jpg,85,87
308,dog_0077._slice1.jpg,195,197
309,dog_0077._slice2.jpg,195,197
310,dog_0077._slice3.jpg,195,197
311,dog_0077._slice4.jpg,195,197
312,dog_0078._slice1.jpg,44,28
313,dog_0078._slice2.jpg,44,28
314,dog_0078._slice3.jpg,44,28
315,dog_0078._slice4.jpg,44,28
316,dog_0079._slice1.jpg,130,143
317,dog_0079._slice2.jpg,130,143
318,dog_0079._slice3.jpg,130,143
319,dog_0079._slice4.jpg,130,143
320,dog_0080._slice1.jpg,144,223
321,dog_0080._slice2.jpg,144,223
322,dog_0080._slice3.jpg,144,223
323,dog_0080._slice4.jpg,144,223
324,dog_0081._slice1.jpg,192,153
325,dog_0081._slice2.jpg,192,153
326,dog_0081._slice3.jpg,192,153
327,dog_0081._slice4.jpg,192,153
328,dog_0082._slice1.jpg,148,133
329,dog_0082._slice2.jpg,148,133
330,dog_0082._slice3.jpg,148,133
331,dog_0082._slice4.jpg,148,133
332,dog_0083._slice1.jpg,96,121
333,dog_0083._slice2.jpg,96,121
334,dog_0083._slice3.jpg,96,121
335,dog_0083._slice4.jpg,96,121
336,dog_0084._slice1.jpg,130,222
337,dog_0084._slice2.jpg,130,222
338,dog_0084._slice3.jpg,130,222
339,dog_0084._slice4.jpg,130,222
340,dog_0085._slice1.jpg,142,189
341,dog_0085._slice2.jpg,142,189
342,dog_0085._slice3.jpg,142,189
343,dog_0085._slice4.jpg,142,189
344,dog_0086._slice1.jpg,117,164
345,dog_0086._slice2.jpg,117,164
346,dog_0086._slice3.jpg,117,164
347,dog_0086._slice4.jpg,117,164
348,dog_0087._slice1.jpg,115,164
349,dog_0087._slice2.jpg,115,164
350,dog_0087._slice3.jpg,115,164
351,dog_0087._slice4.jpg,115,164
352,dog_0088._slice1.jpg,93,138
353,dog_0088._slice2.jpg,93,138
354,dog_0088._slice3.jpg,93,138
355,dog_0088._slice4.jpg,93,138
356,dog_0089._slice1.jpg,235,226
357,dog_0089._slice2.jpg,235,226
358,dog_0089._slice3.jpg,235,226
359,dog_0089._slice4.jpg,235,226
360,dog_0090._slice1.jpg,142,188
361,dog_0090._slice2.jpg,142,188
362,dog_0090._slice3.jpg,142,188
363,dog_0090._slice4.jpg,142,188
364,dog_0091._slice1.jpg,171,167
365,dog_0091._slice2.jpg,171,167
366,dog_0091._slice3.jpg,171,167
367,dog_0091._slice4.jpg,171,167
368,dog_0092._slice1.jpg,85,118
369,dog_0092._slice2.jpg,85,118
370,dog_0092._slice3.jpg,85,118
371,dog_0092._slice4.jpg,85,118
372,dog_0093._slice1.jpg,123,161
373,dog_0093._slice2.jpg,123,161
374,dog_0093._slice3.jpg,123,161
375,dog_0093._slice4.jpg,123,161
376,dog_0094._slice1.jpg,112,211
377,dog_0094._slice2.jpg,112,211
378,dog_0094._slice3.jpg,112,211
379,dog_0094._slice4.jpg,112,211
380,dog_0095._slice1.jpg,106,209
381,dog_0095._slice2.jpg,106,209
382,dog_0095._slice3.jpg,106,209
383,dog_0095._slice4.jpg,106,209
384,dog_0096._slice1.jpg,155,231
385,dog_0096._slice2.jpg,155,231
386,dog_0096._slice3.jpg,155,231
387,dog_0096._slice4.jpg,155,231
388,dog_0097._slice1.jpg,85,96
389,dog_0097._slice2.jpg,85,96
390,dog_0097._slice3.jpg,85,96
391,dog_0097._slice4.jpg,85,96
392,dog_0098._slice1.jpg,107,73
393,dog_0098._slice2.jpg,107,73
394,dog_0098._slice3.jpg,107,73
395,dog_0098._slice4.jpg,107,73
396,dog_0099._slice1.jpg,149,194
397,dog_0099._slice2.jpg,149,194
398,dog_0099._slice3.jpg,149,194
399,dog_0099._slice4.jpg,149,194
400,dog_0100._slice1.jpg,128,163
401,dog_0100._slice2.jpg,128,163
402,dog_0100._slice3.jpg,128,163
403,dog_0100._slice4.jpg,128,163
404,dog_0101._slice1.jpg,83,82
405,dog_0101._slice2.jpg,83,82
406,dog_0101._slice3.jpg,83,82
407,dog_0101._slice4.jpg,83,82
408,dog_0102._slice1.jpg,163,205
409,dog_0102._slice2.jpg,163,205
410,dog_0102._slice3.jpg,163,205
411,dog_0102._slice4.jpg,163,205
412,dog_0103._slice1.jpg,123,158
413,dog_0103._slice2.jpg,123,158
414,dog_0103._slice3.jpg,123,158
415,dog_0103._slice4.jpg,123,158
416,dog_0104._slice1.jpg,131,211
417,dog_0104._slice2.jpg,131,211
418,dog_0104._slice3.jpg,131,211
419,dog_0104._slice4.jpg,131,211
420,dog_0105._slice1.jpg,135,162
421,dog_0105._slice2.jpg,135,162
422,dog_0105._slice3.jpg,135,162
423,dog_0105._slice4.jpg,135,162
424,dog_0106._slice1.jpg,187,211
425,dog_0106._slice2.jpg,187,211
426,dog_0106._slice3.jpg,187,211
427,dog_0106._slice4.jpg,187,211
428,dog_0107._slice1.jpg,92,96
429,dog_0107._slice2.jpg,92,96
430,dog_0107._slice3.jpg,92,96
431,dog_0107._slice4.jpg,92,96
432,dog_0108._slice1.jpg,109,177
433,dog_0108._slice2.jpg,109,177
434,dog_0108._slice3.jpg,109,177
435,dog_0108._slice4.jpg,109,177
436,dog_0109._slice1.jpg,87,245
437,dog_0109._slice2.jpg,87,245
438,dog_0109._slice3.jpg,87,245
439,dog_0109._slice4.jpg,87,245
440,dog_0110._slice1.jpg,134,151
441,dog_0110._slice2.jpg,134,151
442,dog_0110._slice3.jpg,134,151
443,dog_0110._slice4.jpg,134,151
444,dog_0111._slice1.jpg,114,183
445,dog_0111._slice2.jpg,114,183
446,dog_0111._slice3.jpg,114,183
447,dog_0111._slice4.jpg,114,183
448,dog_0112._slice1.jpg,233,174
449,dog_0112._slice2.jpg,233,174
450,dog_0112._slice3.jpg,233,174
451,dog_0112._slice4.jpg,233,174
452,dog_0113._slice1.jpg,125,212
453,dog_0113._slice2.jpg,125,212
454,dog_0113._slice3.jpg,125,212
455,dog_0113._slice4.jpg,125,212
456,dog_0114._slice1.jpg,104,240
457,dog_0114._slice2.jpg,104,240
458,dog_0114._slice3.jpg,104,240
459,dog_0114._slice4.jpg,104,240
460,dog_0115._slice1.jpg,79,150
461,dog_0115._slice2.jpg,79,150
462,dog_0115._slice3.jpg,79,150
463,dog_0115._slice4.jpg,79,150
